pattern	decision	modification	tinyIds	n_tinyIds	decided_at	run_id	notes
3 months	keep		04F6fmBkZ3M 0jstPwdUc 1EdXZbS8q5Y 22c0vHbDR2j 2hc3f6epAyd 2weVGg221S8 3UUJWrpJ6T8 3s4G0aGFBAr 4Gpu8WOsZQ9 6ekw52yH5kV 71TxRL9ihjx 7Je_tqqj3ox 7yGUO5i3jg 7yGesRu6p8 7yWCs9onjg 8ueMSBV7GRm 92bNaugobdP AhG2hnn_65B CuAX2AEz4n1 GGZWNXowH GYX_KKdhXgH Ga5VAZOtCZp GcnhRj9k3XP ImLkJk4SuK Jv7sTzC3Vud KAr96ueKQYX KFO3jqZ8aFj KRHAbhEfAfE KvqQMBNcQr N2eSBkeOQU5 P5czq9uOuA6 PBpuM_I_Av Q17Ciconog Q1Ai5shox Q8eUzJ7tG92 Q9A0YNZ88FC QJCeK55ihix QJQ_pjqjhsx Qk0g7wco3jx QkEIP9s2sg QkESX3mk1l Qy3et5co2jl QyJZFq5ohil RHd40FMxqXK S0hOhP6kx2b S8WTXaOoBKa SAOTKT4bSTC SCb_ZkByB3d TWwv5rJoj4p VJxqek6Psnk Vmw1t72qzKf X1HIwcjhie X1aeYqqohoe X1xZsRuTTU XJMJtcinig XJiKrc_BI XNkhDW6m6AA XkzUPcohjx XyOAd9ihjx YGn7ydrNWdN Z2mCj1KgPvN Z9DqVHqksG8 _QCCC5QeGcV aCGuEgOAmVh aGCZEgh1yp3 aMbU0w_SxK behUD7qR3_K g2n3Audczyg g9_wPHJTi gx57ADxU4uk hHXAY23agWf hzGWRApXPqr j0jG4qg76s jQb18jKDH2Z jbC8hQYd2u k2dCJhNMkEJ k6tu3Fu13Ks kEjB79EiXE kQdG1nZNg_e lCI_fvKw1 m1IIDqo2jg m1W_Yqqihil mJXUDconse mJ_U_9jhoe mJbIvqj3ig mkeCs9s3ox myGZ6ocinsx mySgFq9snix mypeQDco3se mz0u8j1SEQK nQl6srx1 ocyNevhAfTO pAZIUlcx3Y q1NR6tOYQ2N qyaM_oJPjnJ rM71OwARaT5 rUUJjyyp52K sWueA1vzo7T tToZRcrAfyM ukRkv1Wq1Pe vAiWiYmPGd vb6CAxdbJjk wCCuAjVpuGw xemarvWFvUu ygyiJYAmP	105	2026-03-09T22:33:40.494883	run_20260305_165403	
36 45 age	modify	36 45 age indicator	0YVtND23cwX 0pR5YUN7sz4 494YaP37WAs 4MEtUq2BRPA 4sbVCvRA_6 6HROrd5g8hp 6sB1g7eUJ6g 9YqjylVK BCtoN8XsXwX BW0J1TQTBna DzWv9x5VyhK EEe6BC7JXxw EgYoYwXSKhG FIk2k08B97 FSwt08wZO9g HK5uz8A3jhX Hr7CjouZt9 HsNQmMHBsOH IQnonaTO1 J94fyC90uhp KAsYpqyYWU7 OKsJFbv9E Oqo1oQKkc0q R89vsk_z5mP acFyN_8G6fU bSMF1JCnTW0 c3ebSRY46Bs c9duWoTy4hv ctvJfRKz9P dc_1fr95Q4v g1XECa2_0G gJmONF_Fp hAFAypYgdeo hVvqgFYdVDw ktk6VT5TzeA mrRV2KOQY8W mwIdCfc5R pqQgTjKc7Dv qD2xEZxCr1U rxraZDHkF6X tR7Tk_uotJ4 u7etyZfTWjH xPKt5zxJPy	43	2026-03-09T22:33:40.507997	run_20260305_165403	
36 to 45 for Pesticide (Work)	remove		0YVtND23cwX 0pR5YUN7sz4 494YaP37WAs 4MEtUq2BRPA 6sB1g7eUJ6g 9YqjylVK BCtoN8XsXwX BW0J1TQTBna DzWv9x5VyhK EEe6BC7JXxw EgYoYwXSKhG FIk2k08B97 FSwt08wZO9g HK5uz8A3jhX Hr7CjouZt9 HsNQmMHBsOH IQnonaTO1 J94fyC90uhp KAsYpqyYWU7 OKsJFbv9E Oqo1oQKkc0q R89vsk_z5mP acFyN_8G6fU bSMF1JCnTW0 c3ebSRY46Bs c9duWoTy4hv ctrxVVXuhEO ctvJfRKz9P dBU0AdDVZuJ dc_1fr95Q4v g1XECa2_0G gJmONF_Fp hAFAypYgdeo hVvqgFYdVDw ktk6VT5TzeA mrRV2KOQY8W mwIdCfc5R pqQgTjKc7Dv qD2xEZxCr1U rxraZDHkF6X tR7Tk_uotJ4 u7etyZfTWjH xPKt5zxJPy	43	2026-03-09T22:33:40.508012	run_20260305_165403	rescued: parent-filtered, parent_count=0, 43 actual tinyIds
4 or	remove		6ekw52yH5kV 712lvocshil 7JFvI0ecFz 7J_us9j3jl MVFgodCy6 VL2NshlYsn X1JgD80x9tM	7	2026-03-09T22:33:40.546061	run_20260305_165403	
4 weeks	remove		71UDq6CXX 71gAuca07m 7kGIDqpR7Q 7yEA_9pRmX 7ylJtq6AXQ Q1bLv5pR77 Q1g8P96Am7 Qy8FK9a07m QyULDqTCmQ QyvYF56AXm XJ_tYcpC7X XkzRd56A77 mJ4YFq6CQm mJm0u96R7Q mkBFtqT07Q mkzFY5pRQm mykYc6RQQ	17	2026-03-09T22:33:40.524002	run_20260305_165403	
46 55 age	modify	46 55 age indicator	1NGbVpWKwtC 2oRe8FhomZh 43VuAmyJcUM 4xRvht5MrwU 6NnHumfpE_u 7mqO8ReuWpM 9a2tQr0TSVs ApsXGWp_Aad Aw9Op8dF9hJ B1RoO_rMEd8 DHWz3p_Pzj7 FaQMb9tZnUr GhaWWCa932y JK8GdqdocYG JKjFcWN14aA KHlQAb9wP KqzP1nzCc5u OldNFqK0Yw P0sqoQQTWbe RD8QOAGJzNA RpgQOaTJuwy SCyzH1Rm6dX XxnSOCMnAAx Zx44TzUc_m2 _4O9caic7 cSgFCktTwrm cZjOpQNUwOd dVkopMOPD5Y dfBVcyWheSB e8B77ct_VBA f4O_9bJQoFm gx_xe8aIT iHf6mGw_ jnzUrVbBNnP jr3KvqFWsQA lS4MjUhUS6 mFHRWKxmBgd rEhMvMpMdMD rRJWSZAE1Hn rlwU7_xKP5 s0oyoY6CJo4 s5x7f0deNyf tR26BJ10dz1 tvtmYbThWtT vFSEVvA0BNQ vNgN_JOpKb7 vw0uYUo6beK	47	2026-03-09T22:33:40.506888	run_20260305_165403	
46 to 55 (Work)	remove		1NGbVpWKwtC 2oRe8FhomZh 43VuAmyJcUM 4xRvht5MrwU 5OX7wC2xdk9 6NnHumfpE_u 7mqO8ReuWpM 9a2tQr0TSVs ApsXGWp_Aad Aw9Op8dF9hJ B1RoO_rMEd8 DHWz3p_Pzj7 FaQMb9tZnUr GhaWWCa932y JK8GdqdocYG JKjFcWN14aA KHlQAb9wP KqzP1nzCc5u OldNFqK0Yw P0sqoQQTWbe RD8QOAGJzNA RpgQOaTJuwy X_M7jRQJ9z7 XxnSOCMnAAx _4O9caic7 cSgFCktTwrm cZjOpQNUwOd dVkopMOPD5Y dfBVcyWheSB e8B77ct_VBA f4O_9bJQoFm gx_xe8aIT iHf6mGw_ jnzUrVbBNnP jr3KvqFWsQA lS4MjUhUS6 mFHRWKxmBgd rEhMvMpMdMD rRJWSZAE1Hn rlwU7_xKP5 s0oyoY6CJo4 tR26BJ10dz1 tvtmYbThWtT vFSEVvA0BNQ vNgN_JOpKb7 vw0uYUo6beK	46	2026-03-09T22:33:40.506967	run_20260305_165403	rescued: parent-filtered, parent_count=0, 46 actual tinyIds
56 65 age	modify	56 65 age indicator	0He3CqPMHT4 0zYSORkeUAN 23ZvM_vOp4U 2oJPFXhW3VA 2yzWwvV0pUr 4cG0R9ECXNd 5CoccaWdt5q CrzrvHw4kht D50ZsKoL3t DOCveKOAvax FXmbAdPvm GYMFg_R10Ms Gb4b4KfVX1S JawwveDzTP3 JdpOJ5AEccR NscuMf1Hxwf R7YTVHMQb3t Ru5v5kxWA S1qUPEgjHap TA16M1y3N4E TC0LJOSCf UPsry0RBfw5 UjJ_gRxwbcj Uo6PzRHnFat VSYEMFbQCN3 VcZfPUzXYAZ W9c8to1xbWq WK4QDMG5_Dg Ww6Vpcr7gCv XKttwcw8FFr YhwYQaGjX Z6GmTDEeOZf ZFhZAXQjR_v _46rKqXcFTC _zUDDhhv2TR bIgHVoCDsS bPXzwPh4g_P cJYVG5UYg6e eQfOVg1kHmu fhh1D8wcU hOeVogPquaF k3PMmFcJ9uf n0Cr1p5GfDt n3j4kPS_QBn od7FXGqDX_c rgQJHcJj6_Q sRWGuqPPvAo uac1pn4uymr v5yH3DXtk8J x49PRrtEoED xwZA48GhEEP y8uHdeG5bnM	52	2026-03-09T22:33:40.503868	run_20260305_165403	
56 to 65 (Work)	remove		0He3CqPMHT4 0zYSORkeUAN 23ZvM_vOp4U 2oJPFXhW3VA 2yzWwvV0pUr 4cG0R9ECXNd 5CoccaWdt5q CrzrvHw4kht D50ZsKoL3t DOCveKOAvax FXmbAdPvm GYMFg_R10Ms Gb4b4KfVX1S JdpOJ5AEccR NscuMf1Hxwf R7YTVHMQb3t Ru5v5kxWA S1qUPEgjHap TC0LJOSCf UPsry0RBfw5 UjJ_gRxwbcj Uo6PzRHnFat VSYEMFbQCN3 VcZfPUzXYAZ W9c8to1xbWq WK4QDMG5_Dg Ww6Vpcr7gCv XKttwcw8FFr YhwYQaGjX Z6GmTDEeOZf ZFhZAXQjR_v _46rKqXcFTC _zUDDhhv2TR bIgHVoCDsS bPXzwPh4g_P cJYVG5UYg6e eQfOVg1kHmu fhh1D8wcU hOeVogPquaF k3PMmFcJ9uf n0Cr1p5GfDt n3j4kPS_QBn od7FXGqDX_c rgQJHcJj6_Q sRWGuqPPvAo v5yH3DXtk8J x49PRrtEoED y8uHdeG5bnM yxs2p3FAJwX	49	2026-03-09T22:33:40.505998	run_20260305_165403	rescued: parent-filtered, parent_count=0, 49 actual tinyIds
6 month	remove		2cTZQcQmfr0 7JfdrwK6TU 7yZ5SDYTa8 7ylFSvYTpU 7ylsSPKaTU BtE9WxYq5cv Q1YrPFa6U Q1eOBDtTaL Q1f5BPKa6I QJx5HPtp6L QkGDBPKaTI QkWoHvKaTU QkqBvt6TU QylDrwKTT8 V0D2EYtcHQM X1fLHwtp6I XyPSDt6aU XylwIYFppU _9tYgKnDUWP c_TAO1YwtUm gHUO4bHHFM2 m1_uHDKTpI mkbKrvFa68 mybvA4fjaAZ myfiHDKpaU pg47hW6zQj su1WQAcW9aH	27	2026-03-09T22:33:40.515391	run_20260305_165403	
6 months	keep		00KpESPRf3 0FqL_Ie68k 1m3_BEZoQaq 22w4_FmWde 2cTZQcQmfr0 4dIBZmpYaT 6AXlvCOtT0 6mwmp1nWYJ 706L3AWWSt 71uHDYT6U 7JfdrwK6TU 7hIqRucyy 7kJxmq9s2ie 7yZ5SDYTa8 7yhy5qs2jx 7ylFSvYTpU 7ylsSPKaTU 9Ez9Hz81qfT 9jtWvpojO B7YQnL_vF C4WRCvG0r DM_k1qWvB DqIQ6rj0y2 Dwa_xp03dn FiL8dzrHE8 GM7Kktb_y GonG5Bnzd0 HMXv06D7e1 HT3pcDtMkI ICCTJpupsd K4tGEq4XP8 Khj8At0p0B LAN_bteQhw Lq18rYKTEK MM0UZNPVAh OyOVgTUoGW PjO8lKCP2A Q1VgFqqjhix Q1YrPFa6U Q1eOBDtTaL Q1f5BPKa6I Q1yZDP5jhox QJE485o3ix QJx5HPtp6L Qk9jscs2og QkGDBPKaTI QkWoHvKaTU QkqBvt6TU QylDrwKTT8 SznniM7Jcu TZko99dos3 TtYaIcgGuY UbTrv5cWTT V0D2EYtcHQM VgKRl8pNa_ VmHkE5LVfH WbfEuVKB2h WuT7eJsZMZ X1fLHwtp6I X1veTdcinog XJMJtcinig XyPSDt6aU Xyex8dQgH0z XygWPDqshse XylwIYFppU ZohzGInS_t _XyvHOXOQ_ dRn0oPKcGt eHMaK2Wiw fRIcv3DIm5 kCDQsEhH5 kOhMddq5Mg krC99Ps06j lg4fmgK7wg loR8rO_NCd m1WgIuXgrCz m1_uHDKTpI m1qlaO5shig m1sCFtaTI mk6lis5ohjx mkGeK99jnog mkbKrvFa68 mybPBDKTTI mybvA4fjaAZ myfiHDKpaU myiSwKapI nLphG_Klr pg47hW6zQj phwuXYtIif q76tdUeLf_ sUlbBL9WRJ tn1N_U6_tE vWbCG7Nrj wYMJ7RSOjo yuzjSe34NP zkmPy_3nyS zrOxI2hdqU	97	2026-03-09T22:33:40.496387	run_20260305_165403	
66 onward (Work)	remove		2DxDQ7mdVPY 3CrKyqqxzeC 3aRMBoUuQkp 3fvJUM92MN_ 5GCRA1gtbeB 5J1DgjxWm39 62rDhz4r7oN 6PgfB0RX6HD 7745JDpBJSc 7JzMHoPnFqF 7PbVjmGU2bC 8Je42dr3 AXMpZez1Pju AgR1_zHzAfg F1jFqE5jYa2 G6cNezte3_N I2mSCj_Erv JdvE6RCWZQO NhnmVan_v Pc2jDZqo3mN RMAOxsv9ShC Rhy9WByzzcK T7Q2z1opY1N TAwXc1JKDNX Vecww3ntKzQ Xfd7zbKpg Z6gKVKvNXx_ Zsn9M9vfepW _5S9zEKk6P_ _dmPwa_S3Ad au_zek5deen bAWFRO8KSoU fOba2k5UmUF gmcHTSR02qa gwVnTcTKuRJ iqGGmJ5T0 mT6e9snyxUU mnWDbMkmmsD p4ccMSWJAG4 p5HJPC7OVgN pxqtMpNn5Ah rMsshM7AC2F snGUjdquy4S so08aQwAep6 t37XXb01Pz7 ttrUh0PR6RJ xnmGA_RK4yk zk_Tz84GBnU	48	2026-03-09T22:33:40.506432	run_20260305_165403	rescued: parent-filtered, parent_count=0, 48 actual tinyIds
66 onward age	modify	66 onward age indicator	2DxDQ7mdVPY 3CrKyqqxzeC 3aRMBoUuQkp 3fvJUM92MN_ 5GCRA1gtbeB 5J1DgjxWm39 62rDhz4r7oN 6PgfB0RX6HD 7745JDpBJSc 7JzMHoPnFqF 7PbVjmGU2bC AXMpZez1Pju AgR1_zHzAfg F1jFqE5jYa2 G6cNezte3_N I2mSCj_Erv JdvE6RCWZQO NhnmVan_v Pc2jDZqo3mN RMAOxsv9ShC Rhy9WByzzcK SFu9tQuh6xt T7Q2z1opY1N TAwXc1JKDNX Vecww3ntKzQ Xfd7zbKpg Z6gKVKvNXx_ Zsn9M9vfepW _5S9zEKk6P_ _dmPwa_S3Ad au_zek5deen bAWFRO8KSoU fOba2k5UmUF gmcHTSR02qa gwVnTcTKuRJ iqGGmJ5T0 lBhXMOc7X mT6e9snyxUU mkn9H0PM1xo mnWDbMkmmsD p4ccMSWJAG4 p5HJPC7OVgN pxqtMpNn5Ah rMsshM7AC2F snGUjdquy4S so08aQwAep6 t37XXb01Pz7 ttrUh0PR6RJ zk_Tz84GBnU	49	2026-03-09T22:33:40.506014	run_20260305_165403	
7 days	remove		7ynRd9ohse OAjmxwJHMoD Q1t0_5i3ol TScMf7eQ7oF c28NhAuPGMt mBnJQqDzx9H mJsRu5ihsg oY83bNT5hW5 qxtSyTtM1V8 swf9t8Z7mg0 yBUM0AgHKRP	11	2026-03-09T22:33:40.533297	run_20260305_165403	
911 call past year count	remove		7JwmKX9orA QkuXYXqirR XJIXYmcorC mJBXYX9iBC myKmF75sSC	5	2026-03-09T22:33:40.556278	run_20260305_165403	
A child's stated observation of how often	remove		71lxFgwQJye QJMgYsz71yl QJRdHjQJkl QkhpQFQkJl XyltAC71kx mynBq57k1g	6	2026-03-09T22:33:40.549652	run_20260305_165403	
A clinical observation, assessment or judgment that the patient has	remove		7ytNr0rVI Q1RTORTXL Q1hlKOcsnje XJG_cFdSI XyF_x0HVL mywoiYOBI	6	2026-03-09T22:33:40.549660	run_20260305_165403	
A free text	remove		0jlD4spTm 1hJTactLl 1zgoiYwWO 23wp701ha4 2GbbtzhG 2N8PdA0Fi 3M111sj1 4xCw0l_y2 7JC5djMsE AOfzodKF BsDxKHxJ E635OjzA Evnzrb5uK FVTlBeitH H4_dEgAJU HH4jo5F78 LELfGRNsP OdrrTAuAM PF_utX8QO Q2vYK_6EN QJDkdsMjN QJeQQqszsE QQmgNCbYC QkNRcoGj4 QyV5doGjN UoLYnMv4r W5CV4Yfpw X1xJ9iMiE XJq1dizsE XXzfANfz4 XbP0cwfcxa Xk2ScozsN XyA35sMoE YK_KK0281 ZnN5t_7Gj _12BfxOk _1zla_Qk0 _7eWXePWg am9qJcfb5 cCoqdPF8 eElp9zKB0 fzVNozfAt kwocif3nG m1ByuoGsV m1u1sifoV mJTRYoMiN mkPm9ozoN mmmox3DrY my7CFsMoE myFk_oGsE mybkqjfoV nb3AFI5oI nlPZxxoSh o7yom_mif oIrPlgrv rJUshY2WI stb_IIhM uG6rdupMu wgCYgiaN6 x0dAWER3 zhDLOY6R	61	2026-03-09T22:33:40.501460	run_20260305_165403	
A free text describing	keep		0jlD4spTm 1hJTactLl 1zgoiYwWO 23wp701ha4 2GbbtzhG 4xCw0l_y2 AOfzodKF FVTlBeitH H4_dEgAJU HH4jo5F78 LELfGRNsP PF_utX8QO Q2vYK_6EN QJDkdsMjN QQmgNCbYC QkNRcoGj4 UoLYnMv4r W5CV4Yfpw X1xJ9iMiE XJq1dizsE XbP0cwfcxa Xk2ScozsN YK_KK0281 ZnN5t_7Gj _7eWXePWg eElp9zKB0 fzVNozfAt m1ByuoGsV mJTRYoMiN mmmox3DrY my7CFsMoE myFk_oGsE mybkqjfoV nb3AFI5oI oIrPlgrv rJUshY2WI uG6rdupMu wgCYgiaN6 zhDLOY6R	39	2026-03-09T22:33:40.509410	run_20260305_165403	
