tinyId	domain	domain_full	sub_domain	verbosity	concept_id	expected_cluster	name	noise_tier	instrument	temporal_phrase	anchor_phrase	source_tinyId
synNR08E_t1	neurology	Neurology Assessment	Epilepsy	expansive	NR08	epilepsy	Primary electroencephalogram finding category from routine scalp recording for epilepsy evaluation	light		During the past 6 months		synNR08E
synNR09T_t1	neurology	Neurology Assessment	Movement Disorders	terse	NR09	movement	Tremor severity rating	light		During the past 6 months		synNR09T
synNR09I_t1	neurology	Neurology Assessment	Movement Disorders	informational	NR09	movement	Clinical tremor severity rating at neurological examination	light		During the past 6 months		synNR09I
synNR09E_t1	neurology	Neurology Assessment	Movement Disorders	expansive	NR09	movement	Clinical tremor severity rating assigned during standardized neurological motor examination at clinic visit	light		During the past 6 months		synNR09E
synNR10T_t1	neurology	Neurology Assessment	Movement Disorders	terse	NR10	movement	UPDRS motor score	light		During the past 6 months		synNR10T
synNR10I_t1	neurology	Neurology Assessment	Movement Disorders	informational	NR10	movement	MDS-UPDRS Part III motor examination total score	light		During the past 6 months		synNR10I
synNR10E_t1	neurology	Neurology Assessment	Movement Disorders	expansive	NR10	movement	Movement Disorder Society Unified Parkinson's Disease Rating Scale Part III motor examination total score	light		During the past 6 months		synNR10E
synNR11T_t1	neurology	Neurology Assessment	Movement Disorders	terse	NR11	movement	Gait assessment score	light		During the past 6 months		synNR11T
synNR11I_t1	neurology	Neurology Assessment	Movement Disorders	informational	NR11	movement	Standardized gait assessment composite score	light		During the past 6 months		synNR11I
synNR11E_t1	neurology	Neurology Assessment	Movement Disorders	expansive	NR11	movement	Standardized gait assessment composite score from the movement disorder clinic clinical evaluation protocol	light		During the past 6 months		synNR11E
synNR12T_t1	neurology	Neurology Assessment	Movement Disorders	terse	NR12	xdn:medication	Levodopa equivalent daily dose	light		During the past 6 months		synNR12T
synNR12I_t1	neurology	Neurology Assessment	Movement Disorders	informational	NR12	xdn:medication	Total daily levodopa equivalent dose	light		During the past 6 months		synNR12I
synNR12E_t1	neurology	Neurology Assessment	Movement Disorders	expansive	NR12	xdn:medication	Total daily levodopa equivalent dose calculated from all prescribed dopaminergic medications using standard conversion factors	light		During the past 6 months		synNR12E
synNR13T_t1	neurology	Neurology Assessment	Headache	terse	NR13	headache	Headache pain intensity	light		During the past 6 months		synNR13T
synNR13I_t1	neurology	Neurology Assessment	Headache	informational	NR13	headache	Headache pain intensity on numeric rating scale	light		During the past 6 months		synNR13I
synNR13E_t1	neurology	Neurology Assessment	Headache	expansive	NR13	headache	Headache pain intensity rated on the eleven-point numeric rating scale at the time of clinical assessment	light		During the past 6 months		synNR13E
synNR14T_t1	neurology	Neurology Assessment	Headache	terse	NR14	headache	Migraine aura presence	light		During the past 6 months		synNR14T
synNR14I_t1	neurology	Neurology Assessment	Headache	informational	NR14	headache	Migraine with aura classification	light		During the past 6 months		synNR14I
synNR14E_t1	neurology	Neurology Assessment	Headache	expansive	NR14	headache	Migraine with aura classification based on International Classification of Headache Disorders diagnostic criteria	light		During the past 6 months		synNR14E
synNR15T_t1	neurology	Neurology Assessment	Headache	terse	NR15	headache	Monthly headache days	light		During the past 6 months		synNR15T
synNR15I_t1	neurology	Neurology Assessment	Headache	informational	NR15	headache	Monthly headache day frequency count	light		During the past 6 months		synNR15I
synNR15E_t1	neurology	Neurology Assessment	Headache	expansive	NR15	headache	Monthly headache day frequency count from prospective patient headache diary for treatment monitoring	light		During the past 6 months		synNR15E
synNR16T_t1	neurology	Neurology Assessment	Headache	terse	NR16	xdn:demographics	Age at headache onset	light		During the past 6 months		synNR16T
synNR16I_t1	neurology	Neurology Assessment	Headache	informational	NR16	xdn:demographics	Patient age at headache disorder onset	light		During the past 6 months		synNR16I
synNR16E_t1	neurology	Neurology Assessment	Headache	expansive	NR16	xdn:demographics	Patient age at onset of recurrent headache disorder meeting primary headache diagnostic criteria	light		During the past 6 months		synNR16E
synNR17T_t1	neurology	Neurology Assessment	Neuropathy	terse	NR17	neuropathy	Nerve conduction velocity	light		During the past 6 months		synNR17T
synNR17I_t1	neurology	Neurology Assessment	Neuropathy	informational	NR17	neuropathy	Motor nerve conduction velocity measurement	light		During the past 6 months		synNR17I
synNR17E_t1	neurology	Neurology Assessment	Neuropathy	expansive	NR17	neuropathy	Motor nerve conduction velocity measured during standardized electrodiagnostic nerve conduction studies	light		During the past 6 months		synNR17E
synNR18T_t1	neurology	Neurology Assessment	Neuropathy	terse	NR18	neuropathy	Neuropathic pain score	light		During the past 6 months		synNR18T
synNR18I_t1	neurology	Neurology Assessment	Neuropathy	informational	NR18	neuropathy	Neuropathic pain severity score from validated questionnaire	light		During the past 6 months		synNR18I
synNR18E_t1	neurology	Neurology Assessment	Neuropathy	expansive	NR18	neuropathy	Neuropathic pain severity score from validated patient-reported neuropathic pain assessment questionnaire	light		During the past 6 months		synNR18E
synNR19T_t1	neurology	Neurology Assessment	Neuropathy	terse	NR19	neuropathy	Vibration perception threshold	light		During the past 6 months		synNR19T
synNR19I_t1	neurology	Neurology Assessment	Neuropathy	informational	NR19	neuropathy	Vibration perception threshold at the great toe	light		During the past 6 months		synNR19I
synNR19E_t1	neurology	Neurology Assessment	Neuropathy	expansive	NR19	neuropathy	Vibration perception threshold measured at the great toe using quantitative sensory testing biothesiometry	light		During the past 6 months		synNR19E
synNR20T_t1	neurology	Neurology Assessment	Neuropathy	terse	NR20	xdn:lab_values	Hemoglobin A1c in neuropathy workup	light		During the past 6 months		synNR20T
synNR20I_t1	neurology	Neurology Assessment	Neuropathy	informational	NR20	xdn:lab_values	Hemoglobin A1c percentage in peripheral neuropathy workup	light		During the past 6 months		synNR20I
synNR20E_t1	neurology	Neurology Assessment	Neuropathy	expansive	NR20	xdn:lab_values	Hemoglobin A1c percentage measured as part of the comprehensive laboratory evaluation for peripheral neuropathy etiology determination	light		During the past 6 months		synNR20E
synNR01T_t2	neurology	Neurology Assessment	Cerebrovascular	terse	NR01	stroke	Stroke onset time	medium	NESS Cerebrovascular Module			synNR01T
synNR01I_t2	neurology	Neurology Assessment	Cerebrovascular	informational	NR01	stroke	Time of acute ischemic stroke symptom onset	medium	NESS Cerebrovascular Module			synNR01I
synNR01E_t2	neurology	Neurology Assessment	Cerebrovascular	expansive	NR01	stroke	Time of acute ischemic stroke symptom onset documented for thrombolysis eligibility determination	medium	NESS Cerebrovascular Module			synNR01E
synNR02T_t2	neurology	Neurology Assessment	Cerebrovascular	terse	NR02	stroke	NIH Stroke Scale score	medium	NESS Cerebrovascular Module			synNR02T
synNR02I_t2	neurology	Neurology Assessment	Cerebrovascular	informational	NR02	stroke	NIH Stroke Scale total score at initial assessment	medium	NESS Cerebrovascular Module			synNR02I
synNR02E_t2	neurology	Neurology Assessment	Cerebrovascular	expansive	NR02	stroke	National Institutes of Health Stroke Scale total score at initial emergency department neurological assessment	medium	NESS Cerebrovascular Module			synNR02E
synNR03T_t2	neurology	Neurology Assessment	Cerebrovascular	terse	NR03	stroke	Modified Rankin Scale score	medium	NESS Cerebrovascular Module			synNR03T
synNR03I_t2	neurology	Neurology Assessment	Cerebrovascular	informational	NR03	stroke	Modified Rankin Scale score at follow-up assessment	medium	NESS Cerebrovascular Module			synNR03I
synNR03E_t2	neurology	Neurology Assessment	Cerebrovascular	expansive	NR03	stroke	Modified Rankin Scale disability score assessed at ninety-day follow-up after acute ischemic stroke treatment	medium	NESS Cerebrovascular Module			synNR03E
synNR04T_t2	neurology	Neurology Assessment	Cerebrovascular	terse	NR04	xdn:imaging	Brain CT infarct volume	medium	NESS Cerebrovascular Module			synNR04T
synNR04I_t2	neurology	Neurology Assessment	Cerebrovascular	informational	NR04	xdn:imaging	Brain CT ischemic infarct volume measurement	medium	NESS Cerebrovascular Module			synNR04I
synNR04E_t2	neurology	Neurology Assessment	Cerebrovascular	expansive	NR04	xdn:imaging	Brain computed tomography ischemic infarct volume measured using semi-automated planimetric segmentation	medium	NESS Cerebrovascular Module			synNR04E
synNR05T_t2	neurology	Neurology Assessment	Epilepsy	terse	NR05	epilepsy	Seizure frequency	medium	NESS Seizure Module			synNR05T
synNR05I_t2	neurology	Neurology Assessment	Epilepsy	informational	NR05	epilepsy	Monthly seizure frequency count	medium	NESS Seizure Module			synNR05I
synNR05E_t2	neurology	Neurology Assessment	Epilepsy	expansive	NR05	epilepsy	Monthly seizure frequency count from patient seizure diary and caregiver observation log	medium	NESS Seizure Module			synNR05E
synNR06T_t2	neurology	Neurology Assessment	Epilepsy	terse	NR06	epilepsy	Seizure type classification	medium	NESS Seizure Module			synNR06T
synNR06I_t2	neurology	Neurology Assessment	Epilepsy	informational	NR06	epilepsy	Seizure type classified per ILAE 2017 framework	medium	NESS Seizure Module			synNR06I
synNR06E_t2	neurology	Neurology Assessment	Epilepsy	expansive	NR06	epilepsy	Seizure type classified according to the International League Against Epilepsy 2017 operational classification framework	medium	NESS Seizure Module			synNR06E
synNR07T_t2	neurology	Neurology Assessment	Epilepsy	terse	NR07	xdn:medication	Antiepileptic drug name	medium	NESS Seizure Module			synNR07T
synNR07I_t2	neurology	Neurology Assessment	Epilepsy	informational	NR07	xdn:medication	Current antiepileptic drug generic name	medium	NESS Seizure Module			synNR07I
synNR07E_t2	neurology	Neurology Assessment	Epilepsy	expansive	NR07	xdn:medication	Generic name of the primary antiepileptic drug currently prescribed for ongoing seizure management	medium	NESS Seizure Module			synNR07E
synNR08T_t2	neurology	Neurology Assessment	Epilepsy	terse	NR08	epilepsy	EEG finding category	medium	NESS Seizure Module			synNR08T
synNR08I_t2	neurology	Neurology Assessment	Epilepsy	informational	NR08	epilepsy	Primary electroencephalogram finding category	medium	NESS Seizure Module			synNR08I
synNR08E_t2	neurology	Neurology Assessment	Epilepsy	expansive	NR08	epilepsy	Primary electroencephalogram finding category from routine scalp recording for epilepsy evaluation	medium	NESS Seizure Module			synNR08E
synNR09T_t2	neurology	Neurology Assessment	Movement Disorders	terse	NR09	movement	Tremor severity rating	medium	NESS Motor Function Module			synNR09T
synNR09I_t2	neurology	Neurology Assessment	Movement Disorders	informational	NR09	movement	Clinical tremor severity rating at neurological examination	medium	NESS Motor Function Module			synNR09I
synNR09E_t2	neurology	Neurology Assessment	Movement Disorders	expansive	NR09	movement	Clinical tremor severity rating assigned during standardized neurological motor examination at clinic visit	medium	NESS Motor Function Module			synNR09E
synNR10T_t2	neurology	Neurology Assessment	Movement Disorders	terse	NR10	movement	UPDRS motor score	medium	NESS Motor Function Module			synNR10T
synNR10I_t2	neurology	Neurology Assessment	Movement Disorders	informational	NR10	movement	MDS-UPDRS Part III motor examination total score	medium	NESS Motor Function Module			synNR10I
synNR10E_t2	neurology	Neurology Assessment	Movement Disorders	expansive	NR10	movement	Movement Disorder Society Unified Parkinson's Disease Rating Scale Part III motor examination total score	medium	NESS Motor Function Module			synNR10E
synNR11T_t2	neurology	Neurology Assessment	Movement Disorders	terse	NR11	movement	Gait assessment score	medium	NESS Motor Function Module			synNR11T
synNR11I_t2	neurology	Neurology Assessment	Movement Disorders	informational	NR11	movement	Standardized gait assessment composite score	medium	NESS Motor Function Module			synNR11I
synNR11E_t2	neurology	Neurology Assessment	Movement Disorders	expansive	NR11	movement	Standardized gait assessment composite score from the movement disorder clinic clinical evaluation protocol	medium	NESS Motor Function Module			synNR11E
synNR12T_t2	neurology	Neurology Assessment	Movement Disorders	terse	NR12	xdn:medication	Levodopa equivalent daily dose	medium	NESS Motor Function Module			synNR12T
synNR12I_t2	neurology	Neurology Assessment	Movement Disorders	informational	NR12	xdn:medication	Total daily levodopa equivalent dose	medium	NESS Motor Function Module			synNR12I
synNR12E_t2	neurology	Neurology Assessment	Movement Disorders	expansive	NR12	xdn:medication	Total daily levodopa equivalent dose calculated from all prescribed dopaminergic medications using standard conversion factors	medium	NESS Motor Function Module			synNR12E
synNR13T_t2	neurology	Neurology Assessment	Headache	terse	NR13	headache	Headache pain intensity	medium	NESS Cephalgia Module			synNR13T
synNR13I_t2	neurology	Neurology Assessment	Headache	informational	NR13	headache	Headache pain intensity on numeric rating scale	medium	NESS Cephalgia Module			synNR13I
synNR13E_t2	neurology	Neurology Assessment	Headache	expansive	NR13	headache	Headache pain intensity rated on the eleven-point numeric rating scale at the time of clinical assessment	medium	NESS Cephalgia Module			synNR13E
synNR14T_t2	neurology	Neurology Assessment	Headache	terse	NR14	headache	Migraine aura presence	medium	NESS Cephalgia Module			synNR14T
synNR14I_t2	neurology	Neurology Assessment	Headache	informational	NR14	headache	Migraine with aura classification	medium	NESS Cephalgia Module			synNR14I
synNR14E_t2	neurology	Neurology Assessment	Headache	expansive	NR14	headache	Migraine with aura classification based on International Classification of Headache Disorders diagnostic criteria	medium	NESS Cephalgia Module			synNR14E
synNR15T_t2	neurology	Neurology Assessment	Headache	terse	NR15	headache	Monthly headache days	medium	NESS Cephalgia Module			synNR15T
synNR15I_t2	neurology	Neurology Assessment	Headache	informational	NR15	headache	Monthly headache day frequency count	medium	NESS Cephalgia Module			synNR15I
synNR15E_t2	neurology	Neurology Assessment	Headache	expansive	NR15	headache	Monthly headache day frequency count from prospective patient headache diary for treatment monitoring	medium	NESS Cephalgia Module			synNR15E
synNR16T_t2	neurology	Neurology Assessment	Headache	terse	NR16	xdn:demographics	Age at headache onset	medium	NESS Cephalgia Module			synNR16T
synNR16I_t2	neurology	Neurology Assessment	Headache	informational	NR16	xdn:demographics	Patient age at headache disorder onset	medium	NESS Cephalgia Module			synNR16I
synNR16E_t2	neurology	Neurology Assessment	Headache	expansive	NR16	xdn:demographics	Patient age at onset of recurrent headache disorder meeting primary headache diagnostic criteria	medium	NESS Cephalgia Module			synNR16E
synNR17T_t2	neurology	Neurology Assessment	Neuropathy	terse	NR17	neuropathy	Nerve conduction velocity	medium	NESS Peripheral Nerve Module			synNR17T
synNR17I_t2	neurology	Neurology Assessment	Neuropathy	informational	NR17	neuropathy	Motor nerve conduction velocity measurement	medium	NESS Peripheral Nerve Module			synNR17I
synNR17E_t2	neurology	Neurology Assessment	Neuropathy	expansive	NR17	neuropathy	Motor nerve conduction velocity measured during standardized electrodiagnostic nerve conduction studies	medium	NESS Peripheral Nerve Module			synNR17E
synNR18T_t2	neurology	Neurology Assessment	Neuropathy	terse	NR18	neuropathy	Neuropathic pain score	medium	NESS Peripheral Nerve Module			synNR18T
synNR18I_t2	neurology	Neurology Assessment	Neuropathy	informational	NR18	neuropathy	Neuropathic pain severity score from validated questionnaire	medium	NESS Peripheral Nerve Module			synNR18I
synNR18E_t2	neurology	Neurology Assessment	Neuropathy	expansive	NR18	neuropathy	Neuropathic pain severity score from validated patient-reported neuropathic pain assessment questionnaire	medium	NESS Peripheral Nerve Module			synNR18E
synNR19T_t2	neurology	Neurology Assessment	Neuropathy	terse	NR19	neuropathy	Vibration perception threshold	medium	NESS Peripheral Nerve Module			synNR19T
synNR19I_t2	neurology	Neurology Assessment	Neuropathy	informational	NR19	neuropathy	Vibration perception threshold at the great toe	medium	NESS Peripheral Nerve Module			synNR19I
synNR19E_t2	neurology	Neurology Assessment	Neuropathy	expansive	NR19	neuropathy	Vibration perception threshold measured at the great toe using quantitative sensory testing biothesiometry	medium	NESS Peripheral Nerve Module			synNR19E
synNR20T_t2	neurology	Neurology Assessment	Neuropathy	terse	NR20	xdn:lab_values	Hemoglobin A1c in neuropathy workup	medium	NESS Peripheral Nerve Module			synNR20T
synNR20I_t2	neurology	Neurology Assessment	Neuropathy	informational	NR20	xdn:lab_values	Hemoglobin A1c percentage in peripheral neuropathy workup	medium	NESS Peripheral Nerve Module			synNR20I
synNR20E_t2	neurology	Neurology Assessment	Neuropathy	expansive	NR20	xdn:lab_values	Hemoglobin A1c percentage measured as part of the comprehensive laboratory evaluation for peripheral neuropathy etiology determination	medium	NESS Peripheral Nerve Module			synNR20E
synNR01T_t3	neurology	Neurology Assessment	Cerebrovascular	terse	NR01	stroke	Stroke onset time	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR01T
synNR01I_t3	neurology	Neurology Assessment	Cerebrovascular	informational	NR01	stroke	Time of acute ischemic stroke symptom onset	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR01I
synNR01E_t3	neurology	Neurology Assessment	Cerebrovascular	expansive	NR01	stroke	Time of acute ischemic stroke symptom onset documented for thrombolysis eligibility determination	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR01E
synNR02T_t3	neurology	Neurology Assessment	Cerebrovascular	terse	NR02	stroke	NIH Stroke Scale score	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR02T
synNR02I_t3	neurology	Neurology Assessment	Cerebrovascular	informational	NR02	stroke	NIH Stroke Scale total score at initial assessment	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR02I
synNR02E_t3	neurology	Neurology Assessment	Cerebrovascular	expansive	NR02	stroke	National Institutes of Health Stroke Scale total score at initial emergency department neurological assessment	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR02E
synNR03T_t3	neurology	Neurology Assessment	Cerebrovascular	terse	NR03	stroke	Modified Rankin Scale score	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR03T
synNR03I_t3	neurology	Neurology Assessment	Cerebrovascular	informational	NR03	stroke	Modified Rankin Scale score at follow-up assessment	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR03I
synNR03E_t3	neurology	Neurology Assessment	Cerebrovascular	expansive	NR03	stroke	Modified Rankin Scale disability score assessed at ninety-day follow-up after acute ischemic stroke treatment	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR03E
synNR04T_t3	neurology	Neurology Assessment	Cerebrovascular	terse	NR04	xdn:imaging	Brain CT infarct volume	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR04T
synNR04I_t3	neurology	Neurology Assessment	Cerebrovascular	informational	NR04	xdn:imaging	Brain CT ischemic infarct volume measurement	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR04I
synNR04E_t3	neurology	Neurology Assessment	Cerebrovascular	expansive	NR04	xdn:imaging	Brain computed tomography ischemic infarct volume measured using semi-automated planimetric segmentation	heavy	NESS Cerebrovascular Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR04E
synNR05T_t3	neurology	Neurology Assessment	Epilepsy	terse	NR05	epilepsy	Seizure frequency	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR05T
synNR05I_t3	neurology	Neurology Assessment	Epilepsy	informational	NR05	epilepsy	Monthly seizure frequency count	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR05I
synNR05E_t3	neurology	Neurology Assessment	Epilepsy	expansive	NR05	epilepsy	Monthly seizure frequency count from patient seizure diary and caregiver observation log	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR05E
synNR06T_t3	neurology	Neurology Assessment	Epilepsy	terse	NR06	epilepsy	Seizure type classification	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR06T
synNR06I_t3	neurology	Neurology Assessment	Epilepsy	informational	NR06	epilepsy	Seizure type classified per ILAE 2017 framework	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR06I
synNR06E_t3	neurology	Neurology Assessment	Epilepsy	expansive	NR06	epilepsy	Seizure type classified according to the International League Against Epilepsy 2017 operational classification framework	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR06E
synNR07T_t3	neurology	Neurology Assessment	Epilepsy	terse	NR07	xdn:medication	Antiepileptic drug name	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR07T
synNR07I_t3	neurology	Neurology Assessment	Epilepsy	informational	NR07	xdn:medication	Current antiepileptic drug generic name	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR07I
synNR07E_t3	neurology	Neurology Assessment	Epilepsy	expansive	NR07	xdn:medication	Generic name of the primary antiepileptic drug currently prescribed for ongoing seizure management	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR07E
synNR08T_t3	neurology	Neurology Assessment	Epilepsy	terse	NR08	epilepsy	EEG finding category	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR08T
synNR08I_t3	neurology	Neurology Assessment	Epilepsy	informational	NR08	epilepsy	Primary electroencephalogram finding category	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR08I
synNR08E_t3	neurology	Neurology Assessment	Epilepsy	expansive	NR08	epilepsy	Primary electroencephalogram finding category from routine scalp recording for epilepsy evaluation	heavy	NESS Seizure Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR08E
synNR09T_t3	neurology	Neurology Assessment	Movement Disorders	terse	NR09	movement	Tremor severity rating	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR09T
synNR09I_t3	neurology	Neurology Assessment	Movement Disorders	informational	NR09	movement	Clinical tremor severity rating at neurological examination	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR09I
synNR09E_t3	neurology	Neurology Assessment	Movement Disorders	expansive	NR09	movement	Clinical tremor severity rating assigned during standardized neurological motor examination at clinic visit	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR09E
synNR10T_t3	neurology	Neurology Assessment	Movement Disorders	terse	NR10	movement	UPDRS motor score	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR10T
synNR10I_t3	neurology	Neurology Assessment	Movement Disorders	informational	NR10	movement	MDS-UPDRS Part III motor examination total score	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR10I
synNR10E_t3	neurology	Neurology Assessment	Movement Disorders	expansive	NR10	movement	Movement Disorder Society Unified Parkinson's Disease Rating Scale Part III motor examination total score	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR10E
synNR11T_t3	neurology	Neurology Assessment	Movement Disorders	terse	NR11	movement	Gait assessment score	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR11T
synNR11I_t3	neurology	Neurology Assessment	Movement Disorders	informational	NR11	movement	Standardized gait assessment composite score	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR11I
synNR11E_t3	neurology	Neurology Assessment	Movement Disorders	expansive	NR11	movement	Standardized gait assessment composite score from the movement disorder clinic clinical evaluation protocol	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR11E
synNR12T_t3	neurology	Neurology Assessment	Movement Disorders	terse	NR12	xdn:medication	Levodopa equivalent daily dose	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR12T
synNR12I_t3	neurology	Neurology Assessment	Movement Disorders	informational	NR12	xdn:medication	Total daily levodopa equivalent dose	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR12I
synNR12E_t3	neurology	Neurology Assessment	Movement Disorders	expansive	NR12	xdn:medication	Total daily levodopa equivalent dose calculated from all prescribed dopaminergic medications using standard conversion factors	heavy	NESS Motor Function Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR12E
synNR13T_t3	neurology	Neurology Assessment	Headache	terse	NR13	headache	Headache pain intensity	heavy	NESS Cephalgia Module	During the past 6 months	Neurology Clinical Research Framework (NCRF)	synNR13T
