lemma	variants	count
threshold	threshold	1
through	through	1
throughout	throughout	1
time	Time|time	2
to	to	1
total	Total|total	2
toxic	toxic	1
treatment	treatment	1
trend	trend	1
triangle	triangle	1
trigger	triggers	1
trophic	trophic	1
tropospheric	Tropospheric	1
turbidity	Turbidity|turbidity	2
twenty	twenty	1
two	two	1
typically	typically	1
under	under	1
undisturbed	undisturbed	1
unfumigated	unfumigated	1
unit	unit|units	2
until	until	1
up	up	1
uptake	uptake	1
use	use|used|using	3
vacuum	vacuum	1
value	Values|value|values	3
vapor	vapor	1
variation	variation	1
varies	varies	1
vary	varies	1
vegetation	vegetation	1
velocity	velocity	1
vertical	Vertical|vertical	2
visibility	Visibility|visibility	2
visible	visible	1
voc	VOC	1
volatile	volatile	1
volume	volume	1
warm	warm	1
wastewater	wastewater	1
water	Water|water|waters	3
web	webs	1
weigh	weighing	1
weight	weight	1
wet	wet	1
wetting	wetting	1
when	when	1
whether	Whether|whether	2
which	which	1
while	while	1
whose	whose	1
wildlife	wildlife	1
wind	Wind|wind	2
with	with	1
within	within	1
zero	zero	1
