pattern	tinyIds	type	source	decision
Neurological Examination Standardized Scale (NESS)	synNR01E_t1,synNR01E_t2,synNR01E_t3,synNR01I_t1,synNR01I_t2,synNR01I_t3,synNR01T_t1,synNR01T_t2,synNR01T_t3,synNR02E_t1,synNR02E_t2,synNR02E_t3,synNR02I_t1,synNR02I_t2,synNR02I_t3,synNR02T_t1,synNR02T_t2,synNR02T_t3,synNR03E_t1,synNR03E_t2,synNR03E_t3,synNR03I_t1,synNR03I_t2,synNR03I_t3,synNR03T_t1,synNR03T_t2,synNR03T_t3,synNR04E_t1,synNR04E_t2,synNR04E_t3,synNR04I_t1,synNR04I_t2,synNR04I_t3,synNR04T_t1,synNR04T_t2,synNR04T_t3,synNR05E_t1,synNR05E_t2,synNR05E_t3,synNR05I_t1,synNR05I_t2,synNR05I_t3,synNR05T_t1,synNR05T_t2,synNR05T_t3,synNR06E_t1,synNR06E_t2,synNR06E_t3,synNR06I_t1,synNR06I_t2,synNR06I_t3,synNR06T_t1,synNR06T_t2,synNR06T_t3,synNR07E_t1,synNR07E_t2,synNR07E_t3,synNR07I_t1,synNR07I_t2,synNR07I_t3,synNR07T_t1,synNR07T_t2,synNR07T_t3,synNR08E_t1,synNR08E_t2,synNR08E_t3,synNR08I_t1,synNR08I_t2,synNR08I_t3,synNR08T_t1,synNR08T_t2,synNR08T_t3,synNR09E_t1,synNR09E_t2,synNR09E_t3,synNR09I_t1,synNR09I_t2,synNR09I_t3,synNR09T_t1,synNR09T_t2,synNR09T_t3,synNR10E_t1,synNR10E_t2,synNR10E_t3,synNR10I_t1,synNR10I_t2,synNR10I_t3,synNR10T_t1,synNR10T_t2,synNR10T_t3,synNR11E_t1,synNR11E_t2,synNR11E_t3,synNR11I_t1,synNR11I_t2,synNR11I_t3,synNR11T_t1,synNR11T_t2,synNR11T_t3,synNR12E_t1,synNR12E_t2,synNR12E_t3,synNR12I_t1,synNR12I_t2,synNR12I_t3,synNR12T_t1,synNR12T_t2,synNR12T_t3,synNR13E_t1,synNR13E_t2,synNR13E_t3,synNR13I_t1,synNR13I_t2,synNR13I_t3,synNR13T_t1,synNR13T_t2,synNR13T_t3,synNR14E_t1,synNR14E_t2,synNR14E_t3,synNR14I_t1,synNR14I_t2,synNR14I_t3,synNR14T_t1,synNR14T_t2,synNR14T_t3,synNR15E_t1,synNR15E_t2,synNR15E_t3,synNR15I_t1,synNR15I_t2,synNR15I_t3,synNR15T_t1,synNR15T_t2,synNR15T_t3,synNR16E_t1,synNR16E_t2,synNR16E_t3,synNR16I_t1,synNR16I_t2,synNR16I_t3,synNR16T_t1,synNR16T_t2,synNR16T_t3,synNR17E_t1,synNR17E_t2,synNR17E_t3,synNR17I_t1,synNR17I_t2,synNR17I_t3,synNR17T_t1,synNR17T_t2,synNR17T_t3,synNR18E_t1,synNR18E_t2,synNR18E_t3,synNR18I_t1,synNR18I_t2,synNR18I_t3,synNR18T_t1,synNR18T_t2,synNR18T_t3,synNR19E_t1,synNR19E_t2,synNR19E_t3,synNR19I_t1,synNR19I_t2,synNR19I_t3,synNR19T_t1,synNR19T_t2,synNR19T_t3,synNR20E_t1,synNR20E_t2,synNR20E_t3,synNR20I_t1,synNR20I_t2,synNR20I_t3,synNR20T_t1,synNR20T_t2,synNR20T_t3	inst_full	health_neuro_drift	keep
Neurology Clinical Research Framework (NCRF)	synNR01E_t3,synNR01I_t3,synNR01T_t3,synNR02E_t3,synNR02I_t3,synNR02T_t3,synNR03E_t3,synNR03I_t3,synNR03T_t3,synNR04E_t3,synNR04I_t3,synNR04T_t3,synNR05E_t3,synNR05I_t3,synNR05T_t3,synNR06E_t3,synNR06I_t3,synNR06T_t3,synNR07E_t3,synNR07I_t3,synNR07T_t3,synNR08E_t3,synNR08I_t3,synNR08T_t3,synNR09E_t3,synNR09I_t3,synNR09T_t3,synNR10E_t3,synNR10I_t3,synNR10T_t3,synNR11E_t3,synNR11I_t3,synNR11T_t3,synNR12E_t3,synNR12I_t3,synNR12T_t3,synNR13E_t3,synNR13I_t3,synNR13T_t3,synNR14E_t3,synNR14I_t3,synNR14T_t3,synNR15E_t3,synNR15I_t3,synNR15T_t3,synNR16E_t3,synNR16I_t3,synNR16T_t3,synNR17E_t3,synNR17I_t3,synNR17T_t3,synNR18E_t3,synNR18I_t3,synNR18T_t3,synNR19E_t3,synNR19I_t3,synNR19T_t3,synNR20E_t3,synNR20I_t3,synNR20T_t3	inst_full	health_neuro_drift	keep
ESI Heat Exposure	synUHI001,synUHI002,synUHI003,synUHI004,synUHI005,synUHI006,synUHI013,synUHI014,synUHI015	inst_sub	set1a_urban	keep
ESI Water Stress	synSRM001,synSRM002,synSRM003,synSRM004,synSRM005,synSRM006,synSRM013,synSRM014,synSRM015	inst_sub	set1a_urban	keep
ESI Air Contamination	synIAQ001,synIAQ002,synIAQ003,synIAQ004,synIAQ005,synIAQ006,synIAQ013,synIAQ014,synIAQ015	inst_sub	set1a_urban	keep
CRAT Infrastructure Vulnerability	synUHI007,synUHI008,synUHI009,synUHI010,synUHI011,synUHI012	inst_sub	set1a_urban	keep
CRAT Environmental Burden	synSRM007,synSRM008,synSRM009,synSRM010,synSRM011,synSRM012	inst_sub	set1a_urban	keep
CRAT Health Impact	synIAQ007,synIAQ008,synIAQ009,synIAQ010,synIAQ011,synIAQ012	inst_sub	set1a_urban	keep
SSS Pain Interference	synPAN001,synPAN002,synPAN003,synPAN004,synPAN005,synPAN006,synPAN013,synPAN014,synPAN015	inst_sub	set1b_clinical	keep
SSS Cognitive Difficulty	synCOG001,synCOG002,synCOG003,synCOG004,synCOG005,synCOG006,synCOG013,synCOG014,synCOG015	inst_sub	set1b_clinical	keep
SSS Sleep Disturbance	synSLP001,synSLP002,synSLP003,synSLP004,synSLP005,synSLP006,synSLP013,synSLP014,synSLP015	inst_sub	set1b_clinical	keep
FAB Physical Function	synPAN007,synPAN008,synPAN009,synPAN010,synPAN011,synPAN012	inst_sub	set1b_clinical	keep
FAB Daily Living Activities	synCOG007,synCOG008,synCOG009,synCOG010,synCOG011,synCOG012	inst_sub	set1b_clinical	keep
FAB Emotional Well-Being	synSLP007,synSLP008,synSLP009,synSLP010,synSLP011,synSLP012	inst_sub	set1b_clinical	keep
EMP Atmospheric Analysis	synAIR001_t2,synAIR001_t3,synAIR002_t2,synAIR002_t3,synAIR003_t2,synAIR003_t3,synAIR004_t2,synAIR004_t3,synAIR005_t2,synAIR005_t3,synAIR006_t2,synAIR006_t3,synAIR007_t2,synAIR007_t3,synAIR008_t2,synAIR008_t3,synAIR009_t2,synAIR009_t3,synAIR010_t2,synAIR010_t3,synAIR011_t2,synAIR011_t3,synAIR012_t2,synAIR012_t3,synAIR013_t2,synAIR013_t3,synAIR014_t2,synAIR014_t3,synAIR015_t2,synAIR015_t3,synAIR016_t2,synAIR016_t3,synAIR017_t2,synAIR017_t3,synAIR018_t2,synAIR018_t3,synAIR019_t2,synAIR019_t3,synAIR020_t2,synAIR020_t3	inst_sub	set2_noisy	keep
EMP Aquatic Assessment	synWAT001_t2,synWAT001_t3,synWAT002_t2,synWAT002_t3,synWAT003_t2,synWAT003_t3,synWAT004_t2,synWAT004_t3,synWAT005_t2,synWAT005_t3,synWAT006_t2,synWAT006_t3,synWAT007_t2,synWAT007_t3,synWAT008_t2,synWAT008_t3,synWAT009_t2,synWAT009_t3,synWAT010_t2,synWAT010_t3,synWAT011_t2,synWAT011_t3,synWAT012_t2,synWAT012_t3,synWAT013_t2,synWAT013_t3,synWAT014_t2,synWAT014_t3,synWAT015_t2,synWAT015_t3,synWAT016_t2,synWAT016_t3,synWAT017_t2,synWAT017_t3,synWAT018_t2,synWAT018_t3,synWAT019_t2,synWAT019_t3,synWAT020_t2,synWAT020_t3	inst_sub	set2_noisy	keep
EMP Pedological Survey	synSOL001_t2,synSOL001_t3,synSOL002_t2,synSOL002_t3,synSOL003_t2,synSOL003_t3,synSOL004_t2,synSOL004_t3,synSOL005_t2,synSOL005_t3,synSOL006_t2,synSOL006_t3,synSOL007_t2,synSOL007_t3,synSOL008_t2,synSOL008_t3,synSOL009_t2,synSOL009_t3,synSOL010_t2,synSOL010_t3,synSOL011_t2,synSOL011_t3,synSOL012_t2,synSOL012_t3,synSOL013_t2,synSOL013_t3,synSOL014_t2,synSOL014_t3,synSOL015_t2,synSOL015_t3,synSOL016_t2,synSOL016_t3,synSOL017_t2,synSOL017_t3,synSOL018_t2,synSOL018_t3,synSOL019_t2,synSOL019_t3,synSOL020_t2,synSOL020_t3	inst_sub	set2_noisy	keep
CMP Cardiac Assessment	synCRD001_t2,synCRD001_t3,synCRD002_t2,synCRD002_t3,synCRD003_t2,synCRD003_t3,synCRD004_t2,synCRD004_t3,synCRD005_t2,synCRD005_t3,synCRD006_t2,synCRD006_t3,synCRD007_t2,synCRD007_t3,synCRD008_t2,synCRD008_t3,synCRD009_t2,synCRD009_t3,synCRD010_t2,synCRD010_t3,synCRD011_t2,synCRD011_t3,synCRD012_t2,synCRD012_t3,synCRD013_t2,synCRD013_t3,synCRD014_t2,synCRD014_t3,synCRD015_t2,synCRD015_t3,synCRD016_t2,synCRD016_t3,synCRD017_t2,synCRD017_t3,synCRD018_t2,synCRD018_t3,synCRD019_t2,synCRD019_t3,synCRD020_t2,synCRD020_t3	inst_sub	health_drift	keep
CMP Pulmonary Evaluation	synRSP001_t2,synRSP001_t3,synRSP002_t2,synRSP002_t3,synRSP003_t2,synRSP003_t3,synRSP004_t2,synRSP004_t3,synRSP005_t2,synRSP005_t3,synRSP006_t2,synRSP006_t3,synRSP007_t2,synRSP007_t3,synRSP008_t2,synRSP008_t3,synRSP009_t2,synRSP009_t3,synRSP010_t2,synRSP010_t3,synRSP011_t2,synRSP011_t3,synRSP012_t2,synRSP012_t3,synRSP013_t2,synRSP013_t3,synRSP014_t2,synRSP014_t3,synRSP015_t2,synRSP015_t3,synRSP016_t2,synRSP016_t3,synRSP017_t2,synRSP017_t3,synRSP018_t2,synRSP018_t3,synRSP019_t2,synRSP019_t3,synRSP020_t2,synRSP020_t3	inst_sub	health_drift	keep
CMP Metabolic Panel	synMET001_t2,synMET001_t3,synMET002_t2,synMET002_t3,synMET003_t2,synMET003_t3,synMET004_t2,synMET004_t3,synMET005_t2,synMET005_t3,synMET006_t2,synMET006_t3,synMET007_t2,synMET007_t3,synMET008_t2,synMET008_t3,synMET009_t2,synMET009_t3,synMET010_t2,synMET010_t3,synMET011_t2,synMET011_t3,synMET012_t2,synMET012_t3,synMET013_t2,synMET013_t3,synMET014_t2,synMET014_t3,synMET015_t2,synMET015_t3,synMET016_t2,synMET016_t3,synMET017_t2,synMET017_t3,synMET018_t2,synMET018_t3,synMET019_t2,synMET019_t3,synMET020_t2,synMET020_t3	inst_sub	health_drift	keep
PHI Emotional Distress	synMHL001,synMHL002,synMHL003,synMHL004,synMHL005,synMHL006,synMHL013,synMHL014,synMHL015	inst_sub	health_gravity_a	keep
PHI Physical Limitation	synMSK001,synMSK002,synMSK003,synMSK004,synMSK005,synMSK006,synMSK013,synMSK014,synMSK015	inst_sub	health_gravity_a	keep
PHI Digestive Function	synGIH001,synGIH002,synGIH003,synGIH004,synGIH005,synGIH006,synGIH013,synGIH014,synGIH015	inst_sub	health_gravity_a	keep
COAS Psychological Well-Being	synMHL007,synMHL008,synMHL009,synMHL010,synMHL011,synMHL012	inst_sub	health_gravity_a	keep
COAS Rehabilitation Progress	synMSK007,synMSK008,synMSK009,synMSK010,synMSK011,synMSK012	inst_sub	health_gravity_a	keep
COAS Somatic Symptom Burden	synGIH007,synGIH008,synGIH009,synGIH010,synGIH011,synGIH012	inst_sub	health_gravity_a	keep
NESS Cerebrovascular Module	synNR01E_t2,synNR01E_t3,synNR01I_t2,synNR01I_t3,synNR01T_t2,synNR01T_t3,synNR02E_t2,synNR02E_t3,synNR02I_t2,synNR02I_t3,synNR02T_t2,synNR02T_t3,synNR03E_t2,synNR03E_t3,synNR03I_t2,synNR03I_t3,synNR03T_t2,synNR03T_t3,synNR04E_t2,synNR04E_t3,synNR04I_t2,synNR04I_t3,synNR04T_t2,synNR04T_t3	inst_sub	health_neuro_drift	keep
NESS Seizure Module	synNR05E_t2,synNR05E_t3,synNR05I_t2,synNR05I_t3,synNR05T_t2,synNR05T_t3,synNR06E_t2,synNR06E_t3,synNR06I_t2,synNR06I_t3,synNR06T_t2,synNR06T_t3,synNR07E_t2,synNR07E_t3,synNR07I_t2,synNR07I_t3,synNR07T_t2,synNR07T_t3,synNR08E_t2,synNR08E_t3,synNR08I_t2,synNR08I_t3,synNR08T_t2,synNR08T_t3	inst_sub	health_neuro_drift	keep
NESS Motor Function Module	synNR09E_t2,synNR09E_t3,synNR09I_t2,synNR09I_t3,synNR09T_t2,synNR09T_t3,synNR10E_t2,synNR10E_t3,synNR10I_t2,synNR10I_t3,synNR10T_t2,synNR10T_t3,synNR11E_t2,synNR11E_t3,synNR11I_t2,synNR11I_t3,synNR11T_t2,synNR11T_t3,synNR12E_t2,synNR12E_t3,synNR12I_t2,synNR12I_t3,synNR12T_t2,synNR12T_t3	inst_sub	health_neuro_drift	keep
NESS Cephalgia Module	synNR13E_t2,synNR13E_t3,synNR13I_t2,synNR13I_t3,synNR13T_t2,synNR13T_t3,synNR14E_t2,synNR14E_t3,synNR14I_t2,synNR14I_t3,synNR14T_t2,synNR14T_t3,synNR15E_t2,synNR15E_t3,synNR15I_t2,synNR15I_t3,synNR15T_t2,synNR15T_t3,synNR16E_t2,synNR16E_t3,synNR16I_t2,synNR16I_t3,synNR16T_t2,synNR16T_t3	inst_sub	health_neuro_drift	keep
NESS Peripheral Nerve Module	synNR17E_t2,synNR17E_t3,synNR17I_t2,synNR17I_t3,synNR17T_t2,synNR17T_t3,synNR18E_t2,synNR18E_t3,synNR18I_t2,synNR18I_t3,synNR18T_t2,synNR18T_t3,synNR19E_t2,synNR19E_t3,synNR19I_t2,synNR19I_t3,synNR19T_t2,synNR19T_t3,synNR20E_t2,synNR20E_t3,synNR20I_t2,synNR20I_t3,synNR20T_t2,synNR20T_t3	inst_sub	health_neuro_drift	keep
