pattern	tinyIds	type	source	decision
CMP Cardiac Assessment	synCRD001_t2,synCRD001_t3,synCRD002_t2,synCRD002_t3,synCRD003_t2,synCRD003_t3,synCRD004_t2,synCRD004_t3,synCRD005_t2,synCRD005_t3,synCRD006_t2,synCRD006_t3,synCRD007_t2,synCRD007_t3,synCRD008_t2,synCRD008_t3,synCRD009_t2,synCRD009_t3,synCRD010_t2,synCRD010_t3,synCRD011_t2,synCRD011_t3,synCRD012_t2,synCRD012_t3,synCRD013_t2,synCRD013_t3,synCRD014_t2,synCRD014_t3,synCRD015_t2,synCRD015_t3,synCRD016_t2,synCRD016_t3,synCRD017_t2,synCRD017_t3,synCRD018_t2,synCRD018_t3,synCRD019_t2,synCRD019_t3,synCRD020_t2,synCRD020_t3	inst_sub	health_drift	keep
CMP Pulmonary Evaluation	synRSP001_t2,synRSP001_t3,synRSP002_t2,synRSP002_t3,synRSP003_t2,synRSP003_t3,synRSP004_t2,synRSP004_t3,synRSP005_t2,synRSP005_t3,synRSP006_t2,synRSP006_t3,synRSP007_t2,synRSP007_t3,synRSP008_t2,synRSP008_t3,synRSP009_t2,synRSP009_t3,synRSP010_t2,synRSP010_t3,synRSP011_t2,synRSP011_t3,synRSP012_t2,synRSP012_t3,synRSP013_t2,synRSP013_t3,synRSP014_t2,synRSP014_t3,synRSP015_t2,synRSP015_t3,synRSP016_t2,synRSP016_t3,synRSP017_t2,synRSP017_t3,synRSP018_t2,synRSP018_t3,synRSP019_t2,synRSP019_t3,synRSP020_t2,synRSP020_t3	inst_sub	health_drift	keep
CMP Metabolic Panel	synMET001_t2,synMET001_t3,synMET002_t2,synMET002_t3,synMET003_t2,synMET003_t3,synMET004_t2,synMET004_t3,synMET005_t2,synMET005_t3,synMET006_t2,synMET006_t3,synMET007_t2,synMET007_t3,synMET008_t2,synMET008_t3,synMET009_t2,synMET009_t3,synMET010_t2,synMET010_t3,synMET011_t2,synMET011_t3,synMET012_t2,synMET012_t3,synMET013_t2,synMET013_t3,synMET014_t2,synMET014_t3,synMET015_t2,synMET015_t3,synMET016_t2,synMET016_t3,synMET017_t2,synMET017_t3,synMET018_t2,synMET018_t3,synMET019_t2,synMET019_t3,synMET020_t2,synMET020_t3	inst_sub	health_drift	keep
PHI Emotional Distress	synMHL001,synMHL002,synMHL003,synMHL004,synMHL005,synMHL006,synMHL013,synMHL014,synMHL015	inst_sub	health_gravity_a	keep
PHI Physical Limitation	synMSK001,synMSK002,synMSK003,synMSK004,synMSK005,synMSK006,synMSK013,synMSK014,synMSK015	inst_sub	health_gravity_a	keep
PHI Digestive Function	synGIH001,synGIH002,synGIH003,synGIH004,synGIH005,synGIH006,synGIH013,synGIH014,synGIH015	inst_sub	health_gravity_a	keep
COAS Psychological Well-Being	synMHL007,synMHL008,synMHL009,synMHL010,synMHL011,synMHL012	inst_sub	health_gravity_a	keep
COAS Rehabilitation Progress	synMSK007,synMSK008,synMSK009,synMSK010,synMSK011,synMSK012	inst_sub	health_gravity_a	keep
COAS Somatic Symptom Burden	synGIH007,synGIH008,synGIH009,synGIH010,synGIH011,synGIH012	inst_sub	health_gravity_a	keep
NESS Cerebrovascular Module	synNR01E_t2,synNR01E_t3,synNR01I_t2,synNR01I_t3,synNR01T_t2,synNR01T_t3,synNR02E_t2,synNR02E_t3,synNR02I_t2,synNR02I_t3,synNR02T_t2,synNR02T_t3,synNR03E_t2,synNR03E_t3,synNR03I_t2,synNR03I_t3,synNR03T_t2,synNR03T_t3,synNR04E_t2,synNR04E_t3,synNR04I_t2,synNR04I_t3,synNR04T_t2,synNR04T_t3	inst_sub	health_neuro_drift	keep
NESS Seizure Module	synNR05E_t2,synNR05E_t3,synNR05I_t2,synNR05I_t3,synNR05T_t2,synNR05T_t3,synNR06E_t2,synNR06E_t3,synNR06I_t2,synNR06I_t3,synNR06T_t2,synNR06T_t3,synNR07E_t2,synNR07E_t3,synNR07I_t2,synNR07I_t3,synNR07T_t2,synNR07T_t3,synNR08E_t2,synNR08E_t3,synNR08I_t2,synNR08I_t3,synNR08T_t2,synNR08T_t3	inst_sub	health_neuro_drift	keep
NESS Motor Function Module	synNR09E_t2,synNR09E_t3,synNR09I_t2,synNR09I_t3,synNR09T_t2,synNR09T_t3,synNR10E_t2,synNR10E_t3,synNR10I_t2,synNR10I_t3,synNR10T_t2,synNR10T_t3,synNR11E_t2,synNR11E_t3,synNR11I_t2,synNR11I_t3,synNR11T_t2,synNR11T_t3,synNR12E_t2,synNR12E_t3,synNR12I_t2,synNR12I_t3,synNR12T_t2,synNR12T_t3	inst_sub	health_neuro_drift	keep
NESS Cephalgia Module	synNR13E_t2,synNR13E_t3,synNR13I_t2,synNR13I_t3,synNR13T_t2,synNR13T_t3,synNR14E_t2,synNR14E_t3,synNR14I_t2,synNR14I_t3,synNR14T_t2,synNR14T_t3,synNR15E_t2,synNR15E_t3,synNR15I_t2,synNR15I_t3,synNR15T_t2,synNR15T_t3,synNR16E_t2,synNR16E_t3,synNR16I_t2,synNR16I_t3,synNR16T_t2,synNR16T_t3	inst_sub	health_neuro_drift	keep
NESS Peripheral Nerve Module	synNR17E_t2,synNR17E_t3,synNR17I_t2,synNR17I_t3,synNR17T_t2,synNR17T_t3,synNR18E_t2,synNR18E_t3,synNR18I_t2,synNR18I_t3,synNR18T_t2,synNR18T_t3,synNR19E_t2,synNR19E_t3,synNR19I_t2,synNR19I_t3,synNR19T_t2,synNR19T_t3,synNR20E_t2,synNR20E_t3,synNR20I_t2,synNR20I_t3,synNR20T_t2,synNR20T_t3	inst_sub	health_neuro_drift	keep
