phrase_id	tinyId	field_path	token_start	token_end	verbatim_text
phrase_00019	synWAT015	designations[1].designation	6	9	in the water
phrase_00019	synWAT015	definitions[0].definition	10	13	in the water,
phrase_00020	synWAT003	designations[1].designation	1	4	of the water
phrase_00020	synWAT009	designations[1].designation	1	4	of the water
phrase_00020	synWAT009	definitions[0].definition	3	6	of the water
phrase_00020	synWAT019	designations[1].designation	2	5	of the water
phrase_00021	synWAT003	definitions[0].definition	7	10	the amount of
phrase_00021	synWAT005	definitions[0].definition	0	3	The amount of
phrase_00021	synWAT010	definitions[0].definition	0	3	The amount of
phrase_00022	synWAT004	designations[1].designation	3	6	in the sample
phrase_00022	synWAT005	designations[1].designation	3	6	in the sample
phrase_00022	synWAT011	designations[1].designation	6	9	in the sample
phrase_00022	synWAT013	designations[1].designation	3	6	in the sample
phrase_00023	synWAT004	definitions[0].definition	5	8	present in the
phrase_00023	synWAT015	definitions[0].definition	9	12	present in the
phrase_00023	synSOL002	designations[1].designation	6	9	present in the
phrase_00024	synWAT009	designations[1].designation	4	7	at the time
phrase_00024	synSOL008	designations[1].designation	16	19	at the time
phrase_00024	synSOL013	designations[1].designation	12	15	at the time
phrase_00025	synWAT012	definitions[0].definition	0	3	The mass of
phrase_00025	synSOL008	definitions[0].definition	22	25	the mass of
phrase_00025	synSOL019	designations[1].designation	2	5	the mass of
phrase_00025	synSOL019	designations[1].designation	8	11	the mass of
phrase_00025	synSOL020	definitions[0].definition	23	26	the mass of
phrase_00026	synWAT015	definitions[0].definition	22	25	and organic matter
phrase_00026	synSOL003	definitions[0].definition	45	48	and organic matter.
phrase_00026	synSOL004	definitions[0].definition	15	18	and organic matter
phrase_00026	synSOL006	definitions[0].definition	61	64	and organic matter
phrase_00027	synWAT018	designations[1].designation	0	3	Whether the measured
phrase_00027	synWAT018	definitions[0].definition	3	6	whether the measured
phrase_00027	synSOL017	designations[1].designation	0	3	Whether the measured
phrase_00028	synSOL001	designations[0].designation	0	3	Soil organic matter
phrase_00028	synSOL001	definitions[0].definition	0	3	Soil organic matter
phrase_00028	synSOL018	designations[0].designation	3	6	soil organic matter
phrase_00028	synSOL018	designations[1].designation	5	8	soil organic matter
phrase_00028	synSOL019	definitions[0].definition	57	60	soil organic matter
phrase_00029	synSOL001	designations[0].designation	1	4	organic matter content
phrase_00029	synSOL001	definitions[0].definition	44	47	Organic matter content
phrase_00029	synSOL008	definitions[0].definition	60	63	organic matter content,
phrase_00029	synSOL018	designations[0].designation	4	7	organic matter content
phrase_00029	synSOL018	definitions[0].definition	28	31	Organic matter content
phrase_00030	synSOL001	definitions[0].definition	29	32	is determined by
phrase_00030	synSOL007	definitions[0].definition	2	5	is determined by
phrase_00030	synSOL011	definitions[0].definition	4	7	is determined by
phrase_00030	synSOL012	definitions[0].definition	33	36	are determined by
phrase_00030	synSOL017	definitions[0].definition	3	6	is determined by
phrase_00031	synSOL002	designations[1].designation	7	10	in the soil
phrase_00031	synSOL003	designations[1].designation	3	6	in the soil
phrase_00031	synSOL004	designations[0].designation	2	5	in the soil
phrase_00031	synSOL004	definitions[0].definition	25	28	in the soil
phrase_00031	synSOL009	designations[0].designation	3	6	in the soil
phrase_00031	synSOL011	designations[0].designation	3	6	in the soil
phrase_00031	synSOL017	designations[1].designation	8	11	in the soil
phrase_00031	synSOL018	designations[1].designation	3	6	in the soil
phrase_00032	synSOL005	designations[1].designation	3	6	of the soil
phrase_00032	synSOL006	designations[0].designation	3	6	of the soil
phrase_00032	synSOL006	designations[1].designation	2	5	of the soil
phrase_00032	synSOL008	designations[1].designation	12	15	of the oven-dry soil
phrase_00032	synSOL009	definitions[0].definition	61	64	of the soil
phrase_00032	synSOL012	designations[1].designation	1	4	of the soil
phrase_00032	synSOL012	definitions[0].definition	63	66	of the soil.
phrase_00032	synSOL013	designations[1].designation	1	4	of the soil
phrase_00032	synSOL014	designations[0].designation	2	5	of the soil
phrase_00032	synSOL014	designations[1].designation	1	4	of the soil
phrase_00032	synSOL016	designations[0].designation	2	5	of the soil
phrase_00032	synSOL019	designations[0].designation	1	4	of the soil
phrase_00032	synSOL020	designations[0].designation	2	5	of the soil
phrase_00034	synSOL013	definitions[0].definition	34	37	of organic matter
phrase_00034	synSOL019	designations[1].designation	21	24	of organic matter
phrase_00034	synSOL020	definitions[0].definition	60	63	of organic matter,
phrase_00035	synSOL015	designations[1].designation	13	16	from which the
phrase_00035	synSOL015	definitions[0].definition	15	18	from which the
phrase_00035	synSOL016	designations[1].designation	7	10	from which the
