tinyId	domain	domain_full	sub_domain	verbosity	expected_cluster	name	instrument	temporal_phrase	injection_site
synSRM012	stormwater_runoff	Stormwater Runoff Monitoring	Infrastructure	informational	srm	Curb inlet hydraulic efficiency	CRAT Environmental Burden	In the past 7 days	name+question+definition
synSRM013	stormwater_runoff	Stormwater Runoff Monitoring	Particulates	informational	xd1a:particulates	Suspended sediment concentration in runoff	ESI Water Stress		definition_only
synSRM014	stormwater_runoff	Stormwater Runoff Monitoring	Design Storms	informational	srm	Rainfall intensity-duration curve	ESI Water Stress		definition_only
synSRM015	stormwater_runoff	Stormwater Runoff Monitoring	Watershed	informational	srm	Watershed delineation boundary	ESI Water Stress		definition_only
synSRM016	stormwater_runoff	Stormwater Runoff Monitoring	Monitoring	informational	xd1a:coordinates	Outfall monitoring coordinates		Over the past 30 days	temporal_only
synSRM017	stormwater_runoff	Stormwater Runoff Monitoring	Seasonal Patterns	informational	xd1a:seasonal	Seasonal rainfall-runoff pattern		During the last 12 months	temporal_only
synSRM018	stormwater_runoff	Stormwater Runoff Monitoring	Compliance	informational	xd1a:regulatory	Discharge permit compliance status			clean
synSRM019	stormwater_runoff	Stormwater Runoff Monitoring	Sampling	informational	xd1a:sampling	Stormwater sampling protocol			clean
synSRM020	stormwater_runoff	Stormwater Runoff Monitoring	Overflow	informational	srm	Combined sewer overflow frequency			clean
synIAQ001	indoor_air_quality	Indoor Air Quality Evaluation	Chemical Agents	expansive	iaq	Indoor carbon dioxide concentration	ESI Air Contamination	Over the past 30 days	name+question+definition
synIAQ002	indoor_air_quality	Indoor Air Quality Evaluation	Chemical Agents	expansive	iaq	Formaldehyde emission level	ESI Air Contamination	During the last 12 months	name+question+definition
synIAQ003	indoor_air_quality	Indoor Air Quality Evaluation	Radiological	expansive	iaq	Indoor radon activity concentration	ESI Air Contamination	In the past 7 days	name+question+definition
synIAQ004	indoor_air_quality	Indoor Air Quality Evaluation	Biological Agents	expansive	iaq	Viable mold spore count	ESI Air Contamination	Over the past 30 days	name+question+definition
synIAQ005	indoor_air_quality	Indoor Air Quality Evaluation	Particulates	expansive	iaq	Indoor PM2.5 mass concentration	ESI Air Contamination	During the last 12 months	name+question+definition
synIAQ006	indoor_air_quality	Indoor Air Quality Evaluation	Health Impact	expansive	xd1a:health_impact	Occupant health symptom prevalence	ESI Air Contamination	In the past 7 days	name+question+definition
synIAQ007	indoor_air_quality	Indoor Air Quality Evaluation	Ventilation	expansive	iaq	Mechanical ventilation rate	CRAT Health Impact	Over the past 30 days	name+question+definition
synIAQ008	indoor_air_quality	Indoor Air Quality Evaluation	Chemical Agents	expansive	iaq	Total volatile organic compound mixture	CRAT Health Impact	During the last 12 months	name+question+definition
synIAQ009	indoor_air_quality	Indoor Air Quality Evaluation	Exposure	expansive	iaq	Occupant pollutant exposure duration	CRAT Health Impact	In the past 7 days	name+question+definition
synIAQ010	indoor_air_quality	Indoor Air Quality Evaluation	Ventilation	expansive	iaq	Air change rate per hour	CRAT Health Impact	Over the past 30 days	name+question+definition
synIAQ011	indoor_air_quality	Indoor Air Quality Evaluation	Temperature	expansive	xd1a:temperature	Indoor air temperature	CRAT Health Impact	During the last 12 months	name+question+definition
synIAQ012	indoor_air_quality	Indoor Air Quality Evaluation	Humidity	expansive	iaq	Relative humidity control effectiveness	CRAT Health Impact	In the past 7 days	name+question+definition
synIAQ013	indoor_air_quality	Indoor Air Quality Evaluation	Particulates	expansive	xd1a:particulates	Respirable dust concentration indoors	ESI Air Contamination		definition_only
synIAQ014	indoor_air_quality	Indoor Air Quality Evaluation	Filtration	expansive	iaq	HVAC filter particulate removal efficiency	ESI Air Contamination		definition_only
synIAQ015	indoor_air_quality	Indoor Air Quality Evaluation	Source Assessment	expansive	iaq	Pollutant source identification category	ESI Air Contamination		definition_only
synIAQ016	indoor_air_quality	Indoor Air Quality Evaluation	Monitoring	expansive	xd1a:coordinates	Indoor monitoring sensor location		Over the past 30 days	temporal_only
synIAQ017	indoor_air_quality	Indoor Air Quality Evaluation	Seasonal Patterns	expansive	xd1a:seasonal	Seasonal indoor air quality variation		During the last 12 months	temporal_only
synIAQ018	indoor_air_quality	Indoor Air Quality Evaluation	Compliance	expansive	xd1a:regulatory	Indoor air standard compliance			clean
synIAQ019	indoor_air_quality	Indoor Air Quality Evaluation	Sampling	expansive	xd1a:sampling	Indoor air sampling protocol			clean
synIAQ020	indoor_air_quality	Indoor Air Quality Evaluation	Building Envelope	expansive	iaq	Building envelope airtightness			clean
